rank,verb,collocations,ru
2983,rischiare,rischiando il contagio;rischiare di perdere;rischiare grosso;rischiare il fallimento;rischiare il posto;rischiare l'arresto;rischiare la prigione;rischiare la vita;rischiare tutto;rischiare una multa,рисковать/подвергать риску
2989,inventare,inventare un falso nome;inventare una bugia;inventare una giustificazione;inventare una scusa;inventare una storia,изобретать/придумывать/выдумывать
3012,fumare,continuare a fumare;fumare all'aperto;fumare con moderazione;fumare il tabacco;fumare pesantemente;fumare una sigaretta,курить/коптить
3025,disporre,ben disposto;disporre gli oggetti;disporre i fiori;disporre i fondi;disporre il denaro;disporre le truppe;disposto con cura;essere disposto a,располагать/размещать/распоряжаться
3058,convenire,conviene consultare;conviene dire;conviene valutare;conviene verificare,"подходить/договариваться/выгодно"
3061,organizzare,organizzare i contenuti;organizzare il lavoro;organizzare la difesa;organizzare lo spazio;organizzare un evento;organizzare un incontro;organizzare un viaggio;organizzare una festa;organizzare una mostra;organizzare una protesta,организовывать/устраивать
3077,inviare,aver inviato un messaggio;aver inviato un pacco;aver inviato una mail;aver inviato una richiesta;inviare un curriculum;inviare un documento;inviare un invito;inviare un ordine;inviare una segnalazione,отправлять/посылать/пересылать
3098,prevedere,prevedere il futuro;prevedere le conseguenze;prevedere un aumento;prevedere un cambiamento;prevedere un rischio;tempo previsto,предвидеть/предусматривать/прогнозировать
3101,urlare,cominciare ad urlare;continuare ad urlare;iniziare a urlare;urlare a squarciagola;urlare aiuto;urlare contro qualcuno;urlare di gioia;urlare disperatamente;urlare forte;urlare in faccia;urlare per rabbia,кричать/орать/вопить
3107,desiderare,desiderare il ritorno;desiderare il successo;desiderare la pace;desiderare la perfezione;desiderare una risposta,желать/хотеть/стремиться
3110,soffrire,sofferto in silenzio;sofferto per amore;soffre di depressione;soffre di insonnia;soffre in silenzio;soffre per amore;soffrire di;soffrire il caldo;soffrire in silenzio;soffrire l'assenza;soffrire la solitudine;soffrire le conseguenze;soffrire un dolore;soffrire un torto;soffrire una sconfitta,страдать/мучиться/терпеть
3142,legare,essere legata a;essere legati a;essere legato a;essere strettamente legati;lega i capelli;lega i nodi;lega le scarpe;legare i lacci;legare le mani;legare un pacco;legare una persona;legato al contratto;legato indissolubilmente;legato per legge;restare legata a;rimanere legata a;rimanere legati a;sentirsi legata a;sentirsi legati a;sentirsi legato a;si lega a;si lega strettamente;trovarsi legata a;trovarsi legati a,связывать/привязывать/соединять
3147,ricominciare,ricomincia la danza;ricominciare a lavorare;ricominciare a piovere;ricominciare da capo;ricominciare il viaggio;ricominciare l'avventura;ricominciare la partita;ricominciare una storia,начинать заново/возобновлять
3155,recuperare,recuperare i dati;recuperare i fondi;recuperare il tempo;recuperare l'equilibrio;recuperare la salute;recuperare le forze;recuperare lo smalto;recuperare terreno;recuperare un investimento;recuperare un oggetto smarrito,восстанавливать/возвращать/навёрстывать
3160,esplodere,esplodere di gioia;esplodere di rabbia;esplodere in lacrime;far esplodere una bomba;la tensione esplode;un conflitto esplode,взрываться/вспыхивать
3165,guadagnare,aver guadagnato fiducia;aver guadagnato soldi;aver guadagnato tempo;aver guadagnato terreno;guadagnare fiducia;guadagnare il pane;guadagnare l'affetto;guadagnare prestigio;guadagnare soldi;guadagnare tempo;guadagnare un salario;guadagnare una fortuna,зарабатывать/завоёвывать/выигрывать
3177,rapire,essere rapito;rapire un bambino;rapire un innocente;rapire un minore;rapire un passeggero;rapire una persona;rapita in pubblico;rapito dal fascino;venire rapita;venire rapito,похищать/порабощать/увлекать
3182,levare,levare il disturbo;levare il peso;levare il velo;levare la maschera;levare ogni sospetto;levati di torno;levati il dubbio,снимать/поднимать/устранять
3183,convincere,convincere l'opinione pubblica;convincere qualcuno;convincere se stesso;convinta della verità;difficile da convincere;essere convinto di;non farsi convincere;riuscire a convincere,убеждать/уговаривать/доказывать
3184,condividere,condividere gli stessi obiettivi;condividere i valori;condividere il carico;condividere l'opinione;condividere la stanza;condividere le emozioni;condividere un file;condividere un post;condividere un sogno;un successo condiviso,делить/разделять/делиться
3209,partecipare,partecipare a un concorso;partecipare a un evento;partecipare a una discussione;partecipare a una riunione;partecipare ai lavori;partecipare al dibattito;partecipare alla celebrazione;partecipare alla decisione;partecipare alla vita sociale;partecipare attivamente,участвовать/принимать участие
3214,agire,agire con cautela;agire con determinazione;agire d'impulso;agire di concerto;agire in autonomia;agire in modo deciso;agire per il bene;agire secondo coscienza;agire tempestivamente;ho agito d'impulso,действовать/поступать
3240,siedere,si sieda a tavola;siede sul trono,сидеть/восседать
3241,gridare,grida aiuto;grida al miracolo;grida vendetta;gridare a squarciagola;gridare aiuto;gridare al miracolo;gridare forte;gridare insulti;gridare parole;gridare rabbia;gridare vendetta,кричать/орать/выкрикивать
3264,considerare,considerare attentamente;considerare fondamentale;considerare importante;considerare opportuno;considerare possibile;considerare seriamente;considerare un'opzione;considerare utile;considerare valido;considerato utile,рассматривать/считать/обдумывать
3280,ammazzare,ammazzare il silenzio;ammazzare il tempo;ammazzare la fame;ammazzare qualcuno;ammazzare un animale;ammazzare un insetto;ammazzare un nemico;ammazzare una mosca;ammazzato nel sonno;mi ammazzo di lavoro,убивать/умерщвлять
3281,produrre,ha prodotto risultati;produce un effetto;produrre beni;produrre contenuti;produrre energia;produrre prove;produrre reddito;produrre ricchezza;produrre rifiuti;produrre un documento,производить/вырабатывать/создавать
3283,fingere,fingere calma;fingere coraggio;fingere di capire;fingere di dormire;fingere di non sapere;fingere forza;fingere interesse;fingere l'indifferenza;fingere sorpresa;fingere un sorriso,притворяться/делать вид/симулировать
3306,spingere,aver spinto qualcuno;essere spinto a;sentirsi spinto a;spingere al limite;spingere il carrello;spingere l'acceleratore;spingere la porta;spingere oltre;spingere un bottone,толкать/подталкивать/давить
3308,battere,aver battuto un concorrente;batte ciglia;batte il record;battere cassa;battere i record;battere il tempo;battere la ritirata;battere le braccia;battere le mani;battere un colpo,бить/стучать/побеждать
3330,stupere,panorama stupendo;risultare stupendo;sembrare stupendo;stupire il pubblico;stupire l'interlocutore;stupire la platea,удивлять/поражать/изумлять
3340,resistere,resistere a lungo;resistere agli urti;resistere al tempo;resistere all'attacco;resistere alla pressione;resistere alla tentazione;resistere alle difficoltà;resistere alle malattie;resistere alle provocazioni,сопротивляться/устоять/терпеть
3376,rifiutare,aver rifiutato l'invito;aver rifiutato l'offerta;rifiuta l'aiuto;rifiuta l'invito;rifiuta l'offerta;rifiuta la proposta;rifiutare categoricamente;rifiutare l'aiuto;rifiutare l'invito;rifiutare un compromesso;rifiutare un incarico;rifiutare un ordine;rifiutare un regalo;rifiutare un'offerta;rifiutare una proposta,отказывать/отвергать/отклонять
3378,correggere,correggere i compiti;correggere il tiro;correggere la postura;correggere un comportamento;correggere un dato;correggere un esame;correggere una bozza;ha corretto l'errore,исправлять/корректировать
3393,litigare,continuare a litigare;evitare di litigare;iniziare a litigare;litigare con qualcuno;litigare ferocemente;litigare per tutto;smettere di litigare,ссориться/драться/спорить
3394,percorrere,percorrere i chilometri;percorrere il cammino;percorrere il sentiero;percorrere il territorio;percorrere la distanza;percorrere la strada;percorrere le strade;percorrere un itinerario;percorrere un tragitto;percorrere una via,проходить/преодолевать/пробегать
3438,trasferire,trasferire competenze;trasferire fondi;trasferire i dati;trasferire il patrimonio;trasferire la proprietà;trasferita all'estero;trasferito all'estero,переносить/переводить/перемещать
3451,cucinare,cucinare a vapore;cucinare al forno;cucinare dal vivo;cucinare la cena;cucinare qualcosa di buono;cucinare un piatto;cucinare velocemente;imparare a cucinare;piatto cucinato con cura;saper cucinare,готовить/варить
3459,mirare,mira a vincere;mira al successo;mira al traguardo;mira all'obiettivo;mirare con cura;mirare con precisione;mirare il bersaglio;mirare la vittima,целиться/стремиться/нацеливаться
3468,confermare,conferma i dati;conferma l'appuntamento;conferma la notizia;conferma la presenza;conferma la ricezione;confermare l'appuntamento;confermare l'identità;confermare l'ipotesi;confermare la decisione;confermare la prenotazione;confermare la presenza;confermare un impegno;confermare un sospetto;confermato il prezzo;confermato il sospetto;confermato il volo;confermato l'appuntamento;confermato l'ordine;ha confermato la versione,подтверждать
3477,assicurare,assicurare i fondi;assicurare il successo;assicurare la protezione;assicurare la sopravvivenza;assicurare un futuro,обеспечивать/застраховать/уверять
3487,ritornare,ritorna a casa;ritorna in vita;ritornare a casa;ritornare al punto di partenza;ritornare all'ordine;ritornare alla moda;ritornare alla normalità;ritornare in carreggiata;ritornare in vigore;ritornare in vita;ritornare indietro;ritornare nel passato,возвращаться
