Verb Conjugation A1 Italian (Drill)
я устал (essere stanco);Io sono stanco.
ты прощаешь ошибку (scusare un errore);Tu scusi un errore.
он прощает ошибку (scusare un errore);Lui scusa un errore.
она прощает ошибку (scusare un errore);Lei scusa un errore.
мы прощаем ошибку (scusare un errore);Noi scusiamo un errore.
вы прощаете ошибку (scusare un errore);Voi scusate un errore.
они прощают ошибку (scusare un errore);Loro scusano un errore.
я прощал ошибку (scusare un errore);Io scusavo un errore.
ты прощал ошибку (scusare un errore);Tu scusavi un errore.
он прощал ошибку (scusare un errore);Lui scusava un errore.
она прощала ошибку (scusare un errore);Lei scusava un errore.
мы прощали ошибку (scusare un errore);Noi scusavamo un errore.
вы прощали ошибку (scusare un errore);Voi scusavate un errore.
они прощали ошибку (scusare un errore);Loro scusavano un errore.
я простил ошибку (scusare un errore);Io scusai un errore.
ты простил ошибку (scusare un errore);Tu scusasti un errore.
он простил ошибку (scusare un errore);Lui scusò un errore.
она простила ошибку (scusare un errore);Lei scusò un errore.
мы простили ошибку (scusare un errore);Noi scusammo un errore.
вы простили ошибку (scusare un errore);Voi scusaste un errore.
они простили ошибку (scusare un errore);Loro scusarono un errore.
я извинился за ошибку (scusare l'errore);Io ho scusato l'errore.
ты извинился за ошибку (scusare l'errore);Tu hai scusato l'errore.
он извинился за ошибку (scusare l'errore);Lui ha scusato l'errore.
она извинилась за ошибку (scusare l'errore);Lei ha scusato l'errore.
мы извинились за ошибку (scusare l'errore);Noi abbiamo scusato l'errore.
вы извинились за ошибку (scusare l'errore);Voi avete scusato l'errore.
они извинились за ошибку (scusare l'errore);Loro hanno scusato l'errore.
я уже извинился за ошибку (scusare l'errore);Io avevo scusato l'errore.
ты уже извинился за ошибку (scusare l'errore);Tu avevi scusato l'errore.
он уже извинился за ошибку (scusare l'errore);Lui aveva scusato l'errore.
она уже извинилась за ошибку (scusare l'errore);Lei aveva scusato l'errore.
мы уже извинились за ошибку (scusare l'errore);Noi avevamo scusato l'errore.
вы уже извинились за ошибку (scusare l'errore);Voi avevate scusato l'errore.
они уже извинились за ошибку (scusare l'errore);Loro avevano scusato l'errore.
я прощу ошибку (scusare un errore);Io scuserò un errore.
ты простишь ошибку (scusare un errore);Tu scuserai un errore.
он простит ошибку (scusare un errore);Lui scuserà un errore.
она простит ошибку (scusare un errore);Lei scuserà un errore.
мы простим ошибку (scusare un errore);Noi scuseremo un errore.
вы простите ошибку (scusare un errore);Voi scuserete un errore.
они простят ошибку (scusare un errore);Loro scuseranno un errore.
я успею извиниться за ошибку (scusare l'errore);Io avrò scusato l'errore.
ты успеешь извиниться за ошибку (scusare l'errore);Tu avrai scusato l'errore.
он успеет извиниться за ошибку (scusare l'errore);Lui avrà scusato l'errore.
она успеет извиниться за ошибку (scusare l'errore);Lei avrà scusato l'errore.
мы успеем извиниться за ошибку (scusare l'errore);Noi avremo scusato l'errore.
вы успеете извиниться за ошибку (scusare l'errore);Voi avrete scusato l'errore.
они успеют извиниться за ошибку (scusare l'errore);Loro avranno scusato l'errore.
я бы простил ошибку (scusare un errore);Io scuserei un errore.
ты бы простил ошибку (scusare un errore);Tu scuseresti un errore.
он бы простил ошибку (scusare un errore);Lui scuserebbe un errore.
она бы простила ошибку (scusare un errore);Lei scuserebbe un errore.
мы бы простили ошибку (scusare un errore);Noi scuseremmo un errore.
вы бы простили ошибку (scusare un errore);Voi scusereste un errore.
они бы простили ошибку (scusare un errore);Loro scuserebbero un errore.
я бы извинился за ошибку (scusare un errore);Io avrei scusato un errore.
ты бы извинился за ошибку (scusare un errore);Tu avresti scusato un errore.
он бы извинился за ошибку (scusare un errore);Lui avrebbe scusato un errore.
она бы извинилась за ошибку (scusare un errore);Lei avrebbe scusato un errore.
мы бы извинились за ошибку (scusare un errore);Noi avremmo scusato un errore.
вы бы извинились за ошибку (scusare un errore);Voi avreste scusato un errore.
они бы извинились за ошибку (scusare un errore);Loro avrebbero scusato un errore.
он хочет, чтобы я извинился за ошибку (scusare l'errore);Lui vuole che io scusi l'errore.
